epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.759,1.40799,3.33135,1.72044,0.34225,0.16763,0.08943,0.05155,1.47174,3.6267,2.1701,0.0700124,0.00333195,0.00333195
2,511.452,1.28423,3.03085,1.62583,0.40766,0.26896,0.17906,0.12938,1.1312,2.58924,1.72016,0.0399465,0.0065993,0.0065993
3,772.878,1.20826,2.83676,1.56617,0.27305,0.32851,0.17349,0.12379,1.10697,2.8241,1.70892,0.00981447,0.00980065,0.00980065
4,1033.48,1.13631,2.69501,1.50795,0.18596,0.37369,0.22434,0.17175,1.00875,2.41066,1.58888,0.009703,0.009703,0.009703
5,1294.97,1.10155,2.59009,1.4781,0.27196,0.3923,0.25975,0.20012,0.98257,2.29598,1.53894,0.009604,0.009604,0.009604
6,1555.96,1.06613,2.52457,1.45778,0.27833,0.44503,0.28903,0.22432,0.89485,2.18057,1.46348,0.009505,0.009505,0.009505
7,1814.95,1.04073,2.44564,1.43386,0.31752,0.43076,0.30797,0.24382,0.89278,2.12684,1.47348,0.009406,0.009406,0.009406
8,2055.66,1.01271,2.37606,1.41176,0.25825,0.45893,0.28907,0.22277,0.90991,2.17376,1.48239,0.009307,0.009307,0.009307
9,2302.3,0.99537,2.31916,1.3981,0.42814,0.40711,0.36921,0.29565,0.80965,1.96178,1.37278,0.009208,0.009208,0.009208
10,2545.36,0.98012,2.27545,1.38393,0.42467,0.44146,0.3656,0.29151,0.81127,1.99458,1.36854,0.009109,0.009109,0.009109
11,2788.45,0.97688,2.22639,1.37975,0.4076,0.45922,0.40678,0.3204,0.79847,1.94116,1.34279,0.00901,0.00901,0.00901
12,3032.05,0.95909,2.16857,1.36699,0.36805,0.48384,0.4087,0.32413,0.7887,1.85736,1.36368,0.008911,0.008911,0.008911
13,3275.94,0.9417,2.13578,1.3558,0.34895,0.49212,0.40453,0.32032,0.7854,1.85772,1.34432,0.008812,0.008812,0.008812
14,3513.56,0.93544,2.09888,1.34979,0.3997,0.50493,0.44518,0.3524,0.77916,1.76168,1.36126,0.008713,0.008713,0.008713
15,3753.15,0.92722,2.07041,1.34532,0.40477,0.50976,0.45145,0.3592,0.77119,1.7793,1.33155,0.008614,0.008614,0.008614
16,3999.1,0.92331,2.01565,1.33574,0.4084,0.53337,0.46356,0.36498,0.73056,1.69795,1.29124,0.008515,0.008515,0.008515
17,4247.14,0.91738,1.98454,1.33354,0.51907,0.51567,0.49281,0.39237,0.7387,1.65127,1.3169,0.008416,0.008416,0.008416
18,4491.07,0.90868,1.94988,1.3251,0.51572,0.53578,0.50492,0.40515,0.73139,1.61373,1.29053,0.008317,0.008317,0.008317
19,4734.59,0.89873,1.92663,1.32096,0.46819,0.5472,0.49936,0.39995,0.72373,1.64957,1.28824,0.008218,0.008218,0.008218
20,4977.75,0.89901,1.905,1.31997,0.48071,0.55436,0.52695,0.42874,0.70338,1.56271,1.26542,0.008119,0.008119,0.008119
21,5221.01,0.89685,1.89396,1.31783,0.51199,0.53908,0.54306,0.43396,0.70945,1.50607,1.28344,0.00802,0.00802,0.00802
22,5465.8,0.88203,1.84249,1.30613,0.52314,0.57067,0.55506,0.44916,0.69667,1.49975,1.27444,0.007921,0.007921,0.007921
23,5710.38,0.88695,1.79663,1.30558,0.51374,0.55316,0.54881,0.44489,0.70278,1.47148,1.27422,0.007822,0.007822,0.007822
24,5955.66,0.87504,1.79231,1.30154,0.55275,0.57053,0.56586,0.46235,0.69417,1.43663,1.26174,0.007723,0.007723,0.007723
25,6198.4,0.87354,1.76817,1.29823,0.58688,0.57934,0.57119,0.46668,0.69219,1.39736,1.26103,0.007624,0.007624,0.007624
26,6441.79,0.87332,1.74287,1.29544,0.54836,0.60996,0.59655,0.48812,0.67769,1.36608,1.24366,0.007525,0.007525,0.007525
27,6685.23,0.85483,1.68403,1.2809,0.57527,0.5893,0.60297,0.4958,0.65452,1.34836,1.21872,0.007426,0.007426,0.007426
28,6927.89,0.85326,1.68814,1.28571,0.56954,0.60491,0.60286,0.49623,0.66021,1.39583,1.2366,0.007327,0.007327,0.007327
29,7171.55,0.85261,1.65093,1.28084,0.61039,0.63282,0.63485,0.52023,0.64548,1.27481,1.21496,0.007228,0.007228,0.007228
30,7416.83,0.84573,1.64418,1.27517,0.58908,0.62816,0.62723,0.51664,0.65422,1.27713,1.21785,0.007129,0.007129,0.007129
31,7663.08,0.83693,1.5993,1.26765,0.60856,0.60131,0.62352,0.50933,0.64918,1.28689,1.20765,0.00703,0.00703,0.00703
32,7904.84,0.83486,1.57661,1.26383,0.60706,0.64185,0.63395,0.52067,0.65819,1.26511,1.22301,0.006931,0.006931,0.006931
33,8141.38,0.823,1.55625,1.25993,0.63834,0.63835,0.65325,0.53319,0.64812,1.24053,1.21184,0.006832,0.006832,0.006832
34,8377.94,0.83163,1.53515,1.26655,0.61043,0.66435,0.6573,0.53701,0.64878,1.21186,1.21676,0.006733,0.006733,0.006733
35,8614.71,0.82319,1.50668,1.25265,0.69048,0.63817,0.67201,0.55071,0.64571,1.19973,1.21231,0.006634,0.006634,0.006634
36,8851.23,0.81589,1.48414,1.24712,0.65351,0.64401,0.67076,0.54561,0.64524,1.17607,1.21302,0.006535,0.006535,0.006535
37,9087.82,0.81525,1.46634,1.25049,0.68526,0.61123,0.66946,0.55025,0.64087,1.19272,1.21321,0.006436,0.006436,0.006436
38,9324.11,0.81279,1.44858,1.24274,0.69656,0.64435,0.68096,0.56158,0.64111,1.1574,1.2068,0.006337,0.006337,0.006337
39,9560.45,0.80507,1.42507,1.24042,0.67113,0.6734,0.69672,0.5771,0.63438,1.14167,1.20354,0.006238,0.006238,0.006238
40,9796.85,0.80603,1.4112,1.24505,0.70338,0.66369,0.69253,0.57288,0.61994,1.14523,1.19248,0.006139,0.006139,0.006139
41,10033.2,0.80704,1.40543,1.24248,0.70064,0.66786,0.70006,0.57499,0.63131,1.11098,1.19623,0.00604,0.00604,0.00604
42,10269.5,0.79935,1.37888,1.235,0.66336,0.69335,0.6949,0.58462,0.62284,1.13038,1.18626,0.005941,0.005941,0.005941
43,10505.9,0.79101,1.35105,1.23111,0.69166,0.68833,0.708,0.59261,0.61215,1.09355,1.18437,0.005842,0.005842,0.005842
44,10742.5,0.79207,1.33687,1.22941,0.73219,0.67087,0.71859,0.6041,0.60365,1.07374,1.17345,0.005743,0.005743,0.005743
45,10979.2,0.78696,1.32112,1.22644,0.69773,0.67944,0.71339,0.59494,0.62157,1.09797,1.18824,0.005644,0.005644,0.005644
46,11215.8,0.78509,1.29901,1.2236,0.74678,0.66661,0.71835,0.59878,0.61495,1.07159,1.18145,0.005545,0.005545,0.005545
47,11452.5,0.78288,1.29158,1.22141,0.74204,0.67535,0.72379,0.60416,0.61557,1.05046,1.18297,0.005446,0.005446,0.005446
48,11689.1,0.77882,1.26542,1.2189,0.74729,0.65847,0.72355,0.60853,0.60678,1.05283,1.17285,0.005347,0.005347,0.005347
49,11925.6,0.77562,1.26047,1.21813,0.72045,0.67813,0.72241,0.61264,0.5979,1.04751,1.16167,0.005248,0.005248,0.005248
50,12162.1,0.76952,1.2526,1.21115,0.72825,0.67468,0.72466,0.61251,0.6056,1.04828,1.17633,0.005149,0.005149,0.005149
51,12398.6,0.76221,1.23229,1.20508,0.73846,0.68102,0.72544,0.61206,0.60043,1.03571,1.17044,0.00505,0.00505,0.00505
52,12635.2,0.76283,1.2211,1.20659,0.7367,0.68646,0.73282,0.61812,0.60773,1.03552,1.17819,0.004951,0.004951,0.004951
53,12871.9,0.76304,1.19936,1.20434,0.73578,0.66266,0.73215,0.61676,0.60381,1.02111,1.16962,0.004852,0.004852,0.004852
54,13108.3,0.75514,1.19651,1.20181,0.74564,0.66329,0.72986,0.61802,0.606,1.01909,1.17656,0.004753,0.004753,0.004753
55,13344.8,0.75348,1.18009,1.20207,0.71591,0.68669,0.72969,0.61548,0.60324,1.03714,1.1705,0.004654,0.004654,0.004654
56,13581.2,0.74708,1.14893,1.19125,0.73933,0.66736,0.73122,0.6134,0.59996,1.0419,1.17099,0.004555,0.004555,0.004555
57,13817.6,0.74438,1.15489,1.1929,0.72936,0.68952,0.73563,0.62323,0.58982,1.01569,1.15798,0.004456,0.004456,0.004456
58,14054.4,0.74807,1.14693,1.19326,0.72794,0.70722,0.73932,0.62568,0.59492,1.0083,1.16393,0.004357,0.004357,0.004357
59,14290.9,0.74526,1.13408,1.19033,0.74476,0.6978,0.73982,0.62627,0.59145,1.00291,1.16035,0.004258,0.004258,0.004258
60,14527.6,0.74384,1.12024,1.18936,0.74299,0.68791,0.73935,0.62527,0.58941,0.99891,1.15923,0.004159,0.004159,0.004159
61,14764.2,0.74081,1.10508,1.18655,0.73705,0.68148,0.73962,0.6314,0.58992,0.99535,1.16197,0.00406,0.00406,0.00406
62,15001,0.73356,1.08459,1.18357,0.72074,0.71393,0.74147,0.62919,0.5911,0.99649,1.16131,0.003961,0.003961,0.003961
63,15237.6,0.73292,1.08809,1.18086,0.76359,0.68898,0.74459,0.63075,0.59247,0.99414,1.16132,0.003862,0.003862,0.003862
64,15474.3,0.72655,1.06969,1.17431,0.74406,0.70602,0.7501,0.63381,0.59482,0.98298,1.16451,0.003763,0.003763,0.003763
65,15711.1,0.72234,1.06573,1.17615,0.73795,0.70077,0.7459,0.63216,0.59693,0.99324,1.1691,0.003664,0.003664,0.003664
66,15960.2,0.72528,1.0494,1.17652,0.73143,0.71003,0.74732,0.63494,0.59235,0.98691,1.16257,0.003565,0.003565,0.003565
67,16218.5,0.72566,1.0476,1.17372,0.73825,0.70955,0.75074,0.63519,0.59134,0.98462,1.16247,0.003466,0.003466,0.003466
68,16482.5,0.71759,1.03145,1.17005,0.73835,0.7085,0.74961,0.63271,0.59149,0.99029,1.16071,0.003367,0.003367,0.003367
69,16738.8,0.71841,1.02889,1.17021,0.76636,0.67757,0.7485,0.63485,0.58995,0.98754,1.15662,0.003268,0.003268,0.003268
70,16997.7,0.7122,1.01241,1.16471,0.76892,0.6779,0.75086,0.63662,0.58946,0.98243,1.15656,0.003169,0.003169,0.003169
71,17261.5,0.70615,1.00285,1.15787,0.76479,0.68624,0.75364,0.63647,0.59098,0.98324,1.15999,0.00307,0.00307,0.00307
72,17526.1,0.70741,0.9824,1.15935,0.76771,0.69279,0.7556,0.63776,0.58669,0.98364,1.15268,0.002971,0.002971,0.002971
73,17791.2,0.70289,0.98541,1.16041,0.76161,0.69976,0.75358,0.63946,0.58948,0.98422,1.15567,0.002872,0.002872,0.002872
74,18049.4,0.70181,0.97761,1.15596,0.73794,0.71159,0.75511,0.64021,0.58604,0.97888,1.15234,0.002773,0.002773,0.002773
75,18311.5,0.7016,0.97372,1.15688,0.77984,0.68151,0.7513,0.6392,0.58531,0.98106,1.1526,0.002674,0.002674,0.002674
76,18579,0.70109,0.95452,1.15425,0.75789,0.69659,0.75089,0.63871,0.58516,0.98463,1.15199,0.002575,0.002575,0.002575
77,18845.7,0.69435,0.94462,1.15137,0.75426,0.69316,0.74817,0.63975,0.58193,0.9842,1.14896,0.002476,0.002476,0.002476
78,19110,0.69577,0.94142,1.14837,0.72049,0.71479,0.74813,0.6397,0.5834,0.98708,1.15046,0.002377,0.002377,0.002377
79,19373.7,0.68805,0.93449,1.14679,0.72934,0.70844,0.74933,0.63858,0.5815,0.98457,1.14844,0.002278,0.002278,0.002278
80,19637.2,0.68396,0.91679,1.14366,0.72986,0.70583,0.748,0.63874,0.58245,0.98474,1.14905,0.002179,0.002179,0.002179
81,19902.5,0.68271,0.91284,1.14317,0.72295,0.71621,0.7471,0.6393,0.58366,0.98356,1.15128,0.00208,0.00208,0.00208
82,20167.8,0.67917,0.91167,1.13957,0.72917,0.71084,0.74635,0.63742,0.58564,0.98188,1.15408,0.001981,0.001981,0.001981
83,20421,0.68094,0.90707,1.13769,0.73094,0.70841,0.74546,0.63772,0.58645,0.98372,1.15684,0.001882,0.001882,0.001882
84,20686.4,0.68157,0.89114,1.13873,0.73757,0.70244,0.74612,0.63631,0.58582,0.98801,1.15639,0.001783,0.001783,0.001783
85,20952.5,0.67504,0.88864,1.13463,0.73221,0.70171,0.74371,0.63612,0.5857,0.98894,1.1566,0.001684,0.001684,0.001684
86,21218.1,0.67665,0.87838,1.13456,0.71483,0.71559,0.74339,0.63731,0.58345,0.9901,1.15313,0.001585,0.001585,0.001585
87,21474,0.67592,0.8745,1.13259,0.72376,0.71526,0.74443,0.63924,0.58274,0.98648,1.15164,0.001486,0.001486,0.001486
88,21730.1,0.67466,0.8666,1.13556,0.70837,0.72807,0.74292,0.63809,0.58329,0.98755,1.15243,0.001387,0.001387,0.001387
89,21976.5,0.66902,0.85558,1.12962,0.71384,0.72609,0.74248,0.63792,0.58346,0.989,1.15341,0.001288,0.001288,0.001288
90,22223.8,0.66542,0.85764,1.13252,0.71987,0.72132,0.74276,0.63532,0.58336,0.99163,1.1531,0.001189,0.001189,0.001189
91,22469.2,0.56146,0.64264,1.12377,0.71628,0.72532,0.74287,0.63558,0.58288,0.99125,1.15249,0.00109,0.00109,0.00109
92,22713.9,0.54917,0.615,1.11675,0.71664,0.72635,0.74278,0.63523,0.58207,0.9918,1.15252,0.000991,0.000991,0.000991
